anio,ubigeo,departamento,provincia,distrito,amenaza_grave,coaccion_grave,maltrato_sin_lesion,violencia_economica_o_patrimonial,violencia_fisica,violencia_fisica_y_psicologica,violencia_psicologica,violencia_sexual,total
2018,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,0,0,0,9,3,290,265,0,567
2018,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,0,0,0,0,0,1,0,0,1
2018,010104,AMAZONAS,CHACHAPOYAS,CHETO,0,0,0,0,0,1,1,0,2
2018,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,0,0,0,0,1,1,1,0,3
2018,010107,AMAZONAS,CHACHAPOYAS,GRANADA,0,0,0,0,0,1,2,0,3
2018,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,0,0,0,0,0,0,1,0,1
2018,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,0,0,0,1,1,5,3,0,10
2018,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,0,0,1,0,0,8,3,0,12
2018,010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,0,0,1,0,0,3,4,0,8
2018,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,0,0,0,0,0,3,3,0,6
2018,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,0,0,1,3,0,9,9,0,22
2018,010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,0,0,0,0,1,1,1,0,3
2018,010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,0,0,0,0,0,1,0,0,1
2018,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,0,0,0,0,1,1,1,0,3
2018,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,0,0,0,1,1,2,0,0,4
2018,010121,AMAZONAS,CHACHAPOYAS,SONCHE,0,0,0,0,0,1,0,0,1
2018,010201,AMAZONAS,BAGUA,BAGUA,0,0,0,18,40,222,129,2,411
2018,010202,AMAZONAS,BAGUA,ARAMANGO,0,0,2,1,2,11,14,0,30
2018,010203,AMAZONAS,BAGUA,COPALLIN,0,0,0,1,1,4,4,0,10
2018,010205,AMAZONAS,BAGUA,IMAZA,0,0,1,2,7,22,15,0,47
2018,010206,AMAZONAS,BAGUA,LA PECA,0,0,0,1,0,19,0,0,20
2018,010301,AMAZONAS,BONGARA,JUMBILLA,0,0,0,0,0,6,6,0,12
2018,010302,AMAZONAS,BONGARA,CHISQUILLA,0,0,0,0,0,3,0,0,3
2018,010304,AMAZONAS,BONGARA,COROSHA,0,0,0,0,0,3,1,0,4
2018,010305,AMAZONAS,BONGARA,CUISPES,0,0,0,0,1,1,0,0,2
2018,010306,AMAZONAS,BONGARA,FLORIDA,0,0,2,1,2,9,8,0,22
2018,010307,AMAZONAS,BONGARA,JAZAN,0,0,2,1,8,11,18,0,40
2018,010309,AMAZONAS,BONGARA,SAN CARLOS,0,0,0,0,2,0,0,0,2
2018,010310,AMAZONAS,BONGARA,SHIPASBAMBA,0,0,0,0,1,2,1,0,4
2018,010311,AMAZONAS,BONGARA,VALERA,0,0,0,0,0,0,3,0,3
2018,010312,AMAZONAS,BONGARA,YAMBRASBAMBA,0,0,0,0,2,10,7,0,19
2018,010401,AMAZONAS,CONDORCANQUI,NIEVA,0,0,2,5,13,94,58,0,172
2018,010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,0,0,0,0,0,1,0,0,1
2018,010501,AMAZONAS,LUYA,LAMUD,0,0,0,1,3,16,10,2,32
2018,010502,AMAZONAS,LUYA,CAMPORREDONDO,0,0,0,0,2,10,9,0,21
2018,010504,AMAZONAS,LUYA,COLCAMAR,0,0,0,0,0,5,4,0,9
2018,010505,AMAZONAS,LUYA,CONILA,0,0,0,0,0,1,1,0,2
2018,010507,AMAZONAS,LUYA,LONGUITA,0,0,0,0,0,1,0,0,1
2018,010508,AMAZONAS,LUYA,LONYA CHICO,0,0,0,0,0,1,2,0,3
2018,010509,AMAZONAS,LUYA,LUYA,0,0,0,0,0,12,21,0,33
2018,010510,AMAZONAS,LUYA,LUYA VIEJO,0,0,0,0,0,1,1,0,2
2018,010512,AMAZONAS,LUYA,OCALLI,0,0,0,0,1,3,3,0,7
2018,010514,AMAZONAS,LUYA,PISUQUIA,0,0,0,0,0,2,5,0,7
2018,010516,AMAZONAS,LUYA,SAN CRISTOBAL,0,0,0,0,0,1,0,0,1
2018,010518,AMAZONAS,LUYA,SAN JERONIMO,0,0,0,1,0,1,2,1,5
2018,010520,AMAZONAS,LUYA,SANTA CATALINA,0,0,0,0,2,0,0,0,2
2018,010521,AMAZONAS,LUYA,SANTO TOMAS,0,0,0,0,2,8,13,0,23
2018,010522,AMAZONAS,LUYA,TINGO,0,0,0,0,0,3,2,0,5
2018,010523,AMAZONAS,LUYA,TRITA,0,0,0,0,1,0,2,0,3
2018,010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,0,0,0,1,6,54,29,0,90
2018,010602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,0,0,0,0,0,3,0,0,3
2018,010603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,0,0,0,0,0,1,2,0,3
2018,010604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,0,0,0,0,5,3,3,0,11
2018,010605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,0,0,0,0,0,1,2,0,3
2018,010606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,0,0,0,0,4,9,3,0,16
2018,010607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,0,0,0,0,0,2,3,0,5
2018,010609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,0,0,0,0,0,8,10,0,18
2018,010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,0,0,1,0,0,2,0,0,3
2018,010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,1,0,1,60,12,343,293,1,711
2018,010702,AMAZONAS,UTCUBAMBA,CAJARURO,0,0,0,0,4,58,61,0,123
2018,010703,AMAZONAS,UTCUBAMBA,CUMBA,0,0,1,0,3,8,5,0,17
2018,010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,0,0,0,1,3,11,11,0,26
2018,010705,AMAZONAS,UTCUBAMBA,JAMALCA,0,0,3,0,3,8,9,0,23
2018,010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,0,0,0,1,2,19,12,0,34
2018,010707,AMAZONAS,UTCUBAMBA,YAMON,0,0,0,0,1,2,0,0,3
2018,020101,ANCASH,HUARAZ,HUARAZ,0,0,1,22,88,789,637,1,1538
2018,020105,ANCASH,HUARAZ,INDEPENDENCIA,0,0,0,4,22,186,132,1,345
2018,020106,ANCASH,HUARAZ,JANGAS,0,0,0,0,3,2,4,0,9
2018,020110,ANCASH,HUARAZ,PARIACOTO,0,0,0,0,2,0,1,0,3
2018,020112,ANCASH,HUARAZ,TARICA,0,0,0,0,9,16,17,0,42
2018,020201,ANCASH,AIJA,AIJA,0,0,0,0,1,7,11,1,20
2018,020301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,0,0,0,0,2,14,6,0,22
2018,020303,ANCASH,ANTONIO RAYMONDI,CHACCHO,0,0,0,0,0,2,0,0,2
2018,020304,ANCASH,ANTONIO RAYMONDI,CHINGAS,0,0,0,0,0,5,2,0,7
2018,020305,ANCASH,ANTONIO RAYMONDI,MIRGAS,0,0,0,0,2,0,2,0,4
