departamento,provincia,distrito,ubigeo,anio,población
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,2018,36602.0
AMAZONAS,CHACHAPOYAS,ASUNCION,010102,2018,283.0
AMAZONAS,CHACHAPOYAS,BALSAS,010103,2018,1222.0
AMAZONAS,CHACHAPOYAS,CHETO,010104,2018,687.0
AMAZONAS,CHACHAPOYAS,CHILIQUIN,010105,2018,619.0
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,010106,2018,1970.0
AMAZONAS,CHACHAPOYAS,GRANADA,010107,2018,523.0
AMAZONAS,CHACHAPOYAS,HUANCAS,010108,2018,1334.0
AMAZONAS,CHACHAPOYAS,LA JALCA,010109,2018,4187.0
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,010110,2018,3862.0
AMAZONAS,CHACHAPOYAS,LEVANTO,010111,2018,830.0
AMAZONAS,CHACHAPOYAS,MAGDALENA,010112,2018,913.0
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,010113,2018,1474.0
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,010114,2018,2320.0
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,010115,2018,519.0
AMAZONAS,CHACHAPOYAS,OLLEROS,010116,2018,422.0
AMAZONAS,CHACHAPOYAS,QUINJALCA,010117,2018,819.0
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,010118,2018,321.0
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,010119,2018,608.0
AMAZONAS,CHACHAPOYAS,SOLOCO,010120,2018,1293.0
AMAZONAS,CHACHAPOYAS,SONCHE,010121,2018,270.0
AMAZONAS,BAGUA,BAGUA ,010201,2018,29096.0
AMAZONAS,BAGUA,ARAMANGO,010202,2018,10422.0
AMAZONAS,BAGUA,COPALLIN,010203,2018,4903.0
AMAZONAS,BAGUA,EL PARCO,010204,2018,1294.0
AMAZONAS,BAGUA,IMAZA,010205,2018,30392.0
AMAZONAS,BAGUA,LA PECA ,010206,2018,6709.0
AMAZONAS,BONGARA,JUMBILLA,010301,2018,1373.0
AMAZONAS,BONGARA,CHISQUILLA,010302,2018,323.0
AMAZONAS,BONGARA,CHURUJA,010303,2018,299.0
AMAZONAS,BONGARA,COROSHA,010304,2018,810.0
AMAZONAS,BONGARA,CUISPES,010305,2018,702.0
AMAZONAS,BONGARA,FLORIDA,010306,2018,6400.0
AMAZONAS,BONGARA,JAZAN,010307,2018,8035.0
AMAZONAS,BONGARA,RECTA,010308,2018,220.0
AMAZONAS,BONGARA,SAN CARLOS,010309,2018,519.0
AMAZONAS,BONGARA,SHIPASBAMBA,010310,2018,1630.0
AMAZONAS,BONGARA,VALERA,010311,2018,898.0
AMAZONAS,BONGARA,YAMBRASBAMBA,010312,2018,5833.0
AMAZONAS,CONDORCANQUI,NIEVA ,010401,2018,21231.0
AMAZONAS,CONDORCANQUI,EL CENEPA ,010402,2018,11863.0
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,010403,2018,17086.0
AMAZONAS,LUYA,LAMUD,010501,2018,2379.0
AMAZONAS,LUYA,CAMPORREDONDO,010502,2018,7313.0
AMAZONAS,LUYA,COCABAMBA,010503,2018,2087.0
AMAZONAS,LUYA,COLCAMAR,010504,2018,2011.0
AMAZONAS,LUYA,CONILA,010505,2018,1950.0
AMAZONAS,LUYA,INGUILPATA,010506,2018,517.0
AMAZONAS,LUYA,LONGUITA,010507,2018,898.0
AMAZONAS,LUYA,LONYA CHICO,010508,2018,891.0
AMAZONAS,LUYA,LUYA,010509,2018,4147.0
AMAZONAS,LUYA,LUYA VIEJO,010510,2018,408.0
AMAZONAS,LUYA,MARIA,010511,2018,792.0
AMAZONAS,LUYA,OCALLI,010512,2018,3919.0
AMAZONAS,LUYA,OCUMAL,010513,2018,3744.0
AMAZONAS,LUYA,PISUQUIA,010514,2018,5160.0
AMAZONAS,LUYA,PROVIDENCIA,010515,2018,1406.0
AMAZONAS,LUYA,SAN CRISTOBAL,010516,2018,576.0
AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,010517,2018,745.0
AMAZONAS,LUYA,SAN JERONIMO,010518,2018,668.0
AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,010519,2018,453.0
AMAZONAS,LUYA,SANTA CATALINA,010520,2018,2078.0
AMAZONAS,LUYA,SANTO TOMAS,010521,2018,3176.0
AMAZONAS,LUYA,TINGO,010522,2018,1355.0
AMAZONAS,LUYA,TRITA,010523,2018,1437.0
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,010601,2018,6278.0
AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,010602,2018,2713.0
AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,010603,2018,628.0
AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,010604,2018,2772.0
